APPEAR (v.2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEEO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEG (v. 1)	O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BEG (v. 2)	L{EE--∅/------1Eii=2Eii=3Eii=4EiiU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
BEHAVIOUR	O{EE--∅/------1Eii{2Eii{3Eii{4Eii
BEHIND (v. 1)	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
BEHIND (v. 3)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
BELIEVE (v. 1)	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFL{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1Eii=2Eii=3Eii=4Eii
BELIEVE (v. 2)	L{EE--∅/------1Eii=2Eii=3Eii=4Eii
BELIEVE (v. 3)	O{iifrd∅/bd--3-1Eii=2Eii<3iii=4iii
BELL (v. 1)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BELL (v. 2)	L{EE--∅/------1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BELT	O{EE--∅/------1FEE=2FFF=3FFF=4FFF
BEND	O{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
APPLE (v.1)	O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
APPLE (v.2)	L{EE--∅/------1EFi<2FFF=3FFF=4FFF
APPOINTMENT (v.1)	O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
APPOINTMENT (v.2)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
APRIL	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEL{EE--∅/------1EEE<2FFF=3FFF=4FFF
AREA (v.1)	L{EE--∅/------1EEE{2EEE{3EEE{4EEE
AREA (v.2)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
ARGUE	O=iifrd∅/bm-2--1FEE=2FFF=3FFF=4FFF
ARM	L{EE--∅/------1Eii{2Eii{3Eii{4EiiU<EE--∅/------1iEE=2iEE=3iEE=4iEE
ARMY	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
ARGUE (alt.)	O=iifrd∅/bm-2--1FEE=2FFF=3FFF=4FFF
ARREST (v.1)	O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ARREST (v.1 alt.)	O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ARREST (v.2)	O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ARREST (v.3)	O{iifrd∅/bd--3-1EFi{2EFi<3iii=4iiiO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ARRIVE (v.1)	L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ARRIVE (v.2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ARRIVE (v.2 alt.)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ART	O=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ARTICLE (v.1)	L{EE--∅/------1EFi<2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ARTICLE (v.2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ASIA	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEE
BENEFIT	O{iitd∅/td1---1iii{2iEE{3EEE{4EEE
BENEFITS	U<EE--∅/------1iFi=2FFF=3FFF=4FFFU=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFF
BENEFITS (alt.)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO{iitd∅/td1---1iii{2iEE{3EEE{4EEEO=iifrd∅/bm1---1FFE=2FFE=3FFE=4EEEO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BEST (v. 1)	L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1FFF=2FFF=3FFF=4FFF
BEST (v. 2)	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
BET	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
BETTER (v. 1)	L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1FFF=2FFF=3FFF=4FFF
BETTER (v. 2)	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
BETWEEN (v. 1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE{2EEE{3EEE{4EEE
BETWEEN (v. 2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
BICYCLE (v. 1)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BICYCLE (v. 2)	L{EE--∅/------1EFi<2FFF=3FFF=4FFF
BIG (v. 1)	L{EE--∅/------1EFi<2FFF=3FFF=4FFF
BIG (v. 2)	L{EE--∅/------1FEE=2FEE=3FEE=4FEE
ASK (v.1)	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
ASK (v.2)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ASK (v.3)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ASK (v.4)	O{ii--∅/------1iii{2iEE{3EEE{4EEEO{iitd∅/td1---1iii{2iEE{3EEE{4EEE
ASSIGN	O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
ASSIST (v.1)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ASSIST (v.2)	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
ASSISTANT	L{EE--∅/------1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFF
